label,img_filepath,r_mean,g_mean,b_mean,variance_r,variance_g,variance_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,entropy_r,entropy_g,entropy_b,major_axis,minor_axis,area,perimeter,roundness,aspect_ratio
Arborio,../data/Arborio/Arborio (14523).jpg,198.87967546754675,196.90580308030803,201.42134213421343,4354.307991753864,4296.288294157042,4418.168730431899,-2.4568932693618932,-2.451207917611269,-2.4794644283237304,7.544846946327854,7.525205351662627,7.622400959611578,8.793567607778279,8.792273959431721,8.794847979107999,131.2445831298828,73.15274810791016,7418.5,351.74725472927094,0.7534675132184716,1.7941169200681206
Arborio,../data/Arborio/Arborio (2412).jpg,157.37443980837583,157.24710245711637,157.97697419255138,9916.469437852622,9904.075704399795,9946.86780546356,-0.8988808496052604,-0.8979023325672382,-0.9045788344544435,1.8881796486808533,1.8876436506376688,1.8925027099688252,8.444077184471638,8.444001888513958,8.446075044311248,123.21453857421875,70.41046905517578,6614.0,330.2497808933258,0.7620596699202243,1.7499462825288679
Arborio,../data/Arborio/Arborio (4896).jpg,209.50098789824648,209.92491973326747,214.9829587552482,2564.2070254503346,2589.8528465297386,2593.5931894675505,-3.2564477355694237,-3.2234976548661884,-3.3601117025528353,13.594927422154381,13.422858825196155,14.112400234105992,8.948196855156091,8.948123463273872,8.950943973199802,139.92359924316406,76.25950622558594,8249.5,366.71781718730927,0.7708563762345892,1.834834844448784
Arborio,../data/Arborio/Arborio (3295).jpg,198.45858612503298,199.15774202057506,203.1405961487734,5283.947572677825,5325.040799333077,5417.774746043972,-2.232906258626501,-2.2293028543354994,-2.2472904769445305,6.203824662671544,6.192640665596835,6.249074724665,8.813549786118763,8.81355186877675,8.818233670004647,133.47845458984375,74.39991760253906,7731.0,354.67618703842163,0.7722918921617399,1.794067236779957
Arborio,../data/Arborio/Arborio (9383).jpg,134.9927260519248,135.01891226499552,136.30830349149508,12601.409862040442,12592.765868825787,12787.393422547104,-0.33441906093057583,-0.33429351222056924,-0.3369281147711044,1.1663880435253298,1.166481067842681,1.1660452466791067,8.578856637198854,8.580113472396528,8.582467559708867,154.18667602539062,76.70491790771484,9112.0,395.4213538169861,0.7323241188741619,2.0101276454124566
Arborio,../data/Arborio/Arborio (14211).jpg,130.58634681942954,130.34920634920636,133.48418665711898,11017.841303028541,10978.205062921854,11429.835141989748,-0.4030289991885207,-0.4030483185071574,-0.4078967885318212,1.2083154967788183,1.2080512708867612,1.2081206418613482,8.543243301345907,8.5432684786885,8.548485919051691,150.53909301757812,73.55318450927734,8550.5,391.8061298131943,0.6999369533937165,2.0466699575541893
Arborio,../data/Arborio/Arborio (12373).jpg,146.84178581062855,147.24979768006475,151.8076611815484,9960.400784294021,10008.810274439778,10558.504413925668,-0.7499417522436165,-0.7495909988841089,-0.7508471140462158,1.6213388421991717,1.6211126163386753,1.6228580734090268,8.5380860940254,8.5387270130511,8.543951263838098,134.6949920654297,73.40605163574219,7571.5,359.66399443149567,0.7355257206578563,1.8349303506176493
Arborio,../data/Arborio/Arborio (10759).jpg,116.64567932704563,116.52396125414224,118.21386693856742,11278.160462468673,11257.459979006402,11524.084263481658,-0.16530288432019288,-0.1648893427011462,-0.16699883933572462,1.0589276854651886,1.0592197098511291,1.0580730738407527,8.369125328347309,8.368996312864535,8.374365140717195,150.78378295898438,68.34249877929688,8017.0,381.2792184352875,0.6930035799064443,2.2062960186153098
Arborio,../data/Arborio/Arborio (8087).jpg,159.0773578980425,158.9615827488747,161.37841515754212,12045.240011777802,12041.338522021233,12201.38291941856,-0.6870510900647173,-0.684542319799135,-0.7029644866972332,1.5742325498616443,1.572739162063738,1.5830127257624904,8.785354124338648,8.785142752828756,8.793329196265233,152.96743774414062,81.92245483398438,9729.5,405.11983811855316,0.7449607053531051,1.8672223391514415
Arborio,../data/Arborio/Arborio (13777).jpg,186.60210684725357,185.86516177577127,187.89209932279908,6097.698415425754,6065.881291941474,6149.568944351309,-1.7848237396482267,-1.7794421824564293,-1.7922077986315765,4.531339598648577,4.521836692528253,4.546031326906991,8.65022463541959,8.649677657279785,8.65143844874634,132.19505310058594,66.53597259521484,6785.5,338.9188276529312,0.7423356675073046,1.9868207819673953
Arborio,../data/Arborio/Arborio (1641).jpg,158.76056927584764,158.52197572205944,160.80772987302916,9543.931231600021,9523.28621303527,9728.680487200367,-0.9547834527781026,-0.953023698811712,-0.9591493541126355,1.9936876478418464,1.9925104736635064,1.9973108941993731,8.563165415962704,8.562934578908962,8.566520408989003,136.2645721435547,70.64805603027344,7321.5,359.4629839658737,0.7120353911699079,1.928780207132152
Arborio,../data/Arborio/Arborio (10187).jpg,143.10738889639336,143.5600432257193,147.0036471700662,10845.177309986137,10919.594767092553,11331.812089899557,-0.6155865085018494,-0.6141607745563331,-0.6192064811001617,1.4087217634178597,1.4084899626647336,1.4101952438283605,8.492628278834362,8.492581845191072,8.499491543791638,135.91921997070312,72.56509399414062,7561.0,362.73506212234497,0.7221210894530121,1.8730661326185027
Arborio,../data/Arborio/Arborio (7441).jpg,151.6012690790602,152.26599211113017,158.18967587034814,8207.428219963782,8281.51508253055,8799.48005804963,-1.011333196531486,-1.0101575338744682,-1.0168687966186398,2.1133390175586353,2.112260025664402,2.118852813514425,8.374321529783723,8.374485929063386,8.382305570038895,127.17523956298828,60.24781036376953,5968.0,324.04877042770386,0.7141968373315414,2.11086907217239
Arborio,../data/Arborio/Arborio (9528).jpg,129.28114108687234,129.16754872854008,135.8327094359107,12241.37933067159,12222.763975958482,13423.431417507283,-0.27964078500797845,-0.2790724100899886,-0.28389163365593306,1.1283032904790598,1.1284664529908337,1.1257369729376034,8.411204172097156,8.411160156800555,8.416707979072143,145.19874572753906,70.67655181884766,7911.5,369.52185904979706,0.7280956361597224,2.054411852175536
